pid,item,description,price,img_file,xs,s,m,l,xl,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,bullet_6
101,Dope White,DOPE Unisex White Preshrunk Cotton Tee,21,dope_white,0,2,4,5,3,S 15X24 inches / Chest 36-37 / Waist 29-31,M 16x24 inches / Chest 38-40 / Waist 32-34,L 18x24 inches / Chest 41-43 / Waist 35-37,XL 19x24 inches / Chest 44-46 / Waist 38-40,We do not accept returns if your purchased shirt does not fit.,
102,Dope Grey,DOPE Women’s Fitted Organic Preshrunk Cotton Grey Tee,21,dope_grey,2,6,0,0,0,XS 15x23 inches,S 16x23 inches,We do not accept returns if your purchased shirt does not fit.,,,
103,Drake & 40 Black,Drake Unisex Cotton Black Tee,21,drake_black,2,2,1,2,1,XS 18x23 inches,S 19x23 inches,M 20x24 inches,L 21x25 inches,XL 23x26 inches,We do not accept returns if your purchased shirt does not fit.
104,Drake & 40 Navy,Drake Women’s Fitted Organic Cotton Navy Tee,21,drake_navy,2,19,0,3,0,XS 15x22 inches,S 17x22 inches,L 20x25 inches,We do not accept returns if your purchased shirt does not fit.,,
105,H-Town Vicious Black,H-Town Vicious Women’s Cotton Fitted White Tee,21,htown_vicious_black,4,5,4,5,3,XS 14x21 inches,S 15x21 inches,M 16x21 inches,L 17x22 inches,XL 18x22 inches,We do not accept returns if your purchased shirt does not fit
106,H-Town Vicious White,H-Town Vicious Women’s Cotton Black Tee,16,htown_vicious_white,4,0,0,0,0,Size XS available only,15x20 inches,We do not accept returns if your purchased shirt does not fit.,,,
