gid,item,description,price,img_file,bullet_1,bullet_2,bullet_3,bullet_4,quantity
101,Teal + Mint + Gold Bee Jewelry Dish,Handmade Dish,9,green_bee2,4.25 inches in diameter,Hand painted terra cotta,Save the Bees!,http://www.greenpeace.org/usa/sustainable-agriculture/save-the-bees/
102,Tan + Black + Gold Bee Jewelry Dish,Handmade Dish,9,tan_bee_3,4.25 inches in diameter,Hand painted terra cotta,Save the Bees!,http://www.greenpeace.org/usa/sustainable-agriculture/save-the-bees/
201,Blue + Gold Bee Jewelry Dish,Handmade Dish,9,blue_bee,4.25 inches in diameter,Hand painted terra cotta,Save the Bees!,http://www.greenpeace.org/usa/sustainable-agriculture/save-the-bees/
